127.0.0.1 - - [06/Jun/2024:12:21:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:21:23 +0530] "GET /ShoppingApp/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:21:41 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:21:51 +0530] "GET /ShoppingApp/index.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:21:56 +0530] "GET /ShoppingApp/home?username=customer&password=customer HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:21:58 +0530] "GET /ShoppingApp/index.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:22:18 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:22:20 +0530] "GET /ShoppingApp/index.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:23:54 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:27:17 +0530] "GET /ShoppingApp/index.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:27:28 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:32:09 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 3388
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:33:30 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:34:10 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:34:14 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:35:16 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:35:27 +0530] "GET /ShoppingApp/addItems?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 500 4008
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:37:38 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:38:39 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 500 5656
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:39:00 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 500 5655
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:39:24 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:43:15 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4562
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:47:48 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4562
0:0:0:0:0:0:0:1 - - [06/Jun/2024:12:47:52 +0530] "GET /ShoppingApp/display_Products_From_Cart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:15:04 +0530] "GET /ShoppingApp/display_Products_From_Cart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:16:36 +0530] "GET /ShoppingApp/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:16:44 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 500 4109
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:18:09 +0530] "GET /ShoppingApp/ HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:18:11 +0530] "GET /ShoppingApp/home?username=customer&password=customer HTTP/1.1" 500 4109
0:0:0:0:0:0:0:1 - - [06/Jun/2024:13:18:23 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 500 4109
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:08:37 +0530] "GET /ShoppingApp/home?username=mantr&password=mantr HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:09:54 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:09:56 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:11:17 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:11:19 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:13:25 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:13:27 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:14:43 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:14:45 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pid=1&quantity=1&pid=2&quantity=1&pid=3&quantity=1&pid=4 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:16:23 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:16:25 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pro_id=1&quantity=1&pro_id=2&quantity=1&pro_id=3&quantity=1&pro_id=4 HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:23:34 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pro_id=1&quantity=1&pro_id=2&quantity=1&pro_id=3&quantity=1&pro_id=4 HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:23:39 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:23:41 +0530] "GET /ShoppingApp/getProductsFromCart?quantity=1&pro_id=1&quantity=1&pro_id=2&quantity=1&pro_id=3&quantity=1&pro_id=4 HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:29:29 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 500 5629
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:30:55 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 500 5385
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:31:48 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 500 5385
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:32:12 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:32:20 +0530] "GET /ShoppingApp/addItems?pid=1&name=Bag&cost=500.0&discount=5 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:32:28 +0530] "GET /ShoppingApp/showCart? HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:33:19 +0530] "GET /ShoppingApp/showCart? HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:33:22 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6018
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:33:24 +0530] "GET /ShoppingApp/getProductsFromCart?pid=2&name=T-Shirt&cost=300.0&discount=5 HTTP/1.1" 400 838
0:0:0:0:0:0:0:1 - - [06/Jun/2024:14:36:57 +0530] "GET /ShoppingApp/addProductsToCart? HTTP/1.1" 200 6018
